panel_id	enhancer	initial_rho	rectified_raw_rho	latent_state_rho	difference_structure_score	importance	distance
E3	chr4:87525580-87526081	0.4503582910786178	0.3964087795451246	0.4695561007953445	0.14622112116386501	0.1047647943198442	[0]
E9	chr4:87529111-87529612	0.4610332915098498	0.39783337111567335	0.4697980629264023	0.12202375860416595	0.0609843787329306	[0]
E15	chr4:87624681-87625182	0.1323933335671732	0.1738091744873614	0.381121468022087	0.11587285536087077	0.003483956253091	[93871]
E11	chr4:87680272-87680773	0.2952350029538055	0.16395923441851495	0.41686169376104304	0.11500511531055549	0.0312845281800598	[149461]
E7	chr4:87530786-87531287	0.4786751588604919	0.3640190260810279	0.45663475671330156	0.10891731037906656	0.0747641575841875	[0]
E12	chr4:87465668-87466169	0.3393475033368757	0.3250262440341075	0.4722370189674634	0.10040147051461068	0.0109955236263323	[-7417]
E1	chr4:87517628-87518129	0.5939774710946053	0.4058660207098015	0.45708879362921234	0.09693554129093275	0.1866993889361227	[0]
E14	chr4:87679756-87680257	0.2876705098383993	0.20027300904719958	0.394640118171161	0.09559973945365116	0.0084334876703758	[148945]
E4	chr4:87469651-87470152	0.5531160174878583	0.3816555902741037	0.45600269237762975	0.09156005378106571	0.0840851003654954	[-3433]
E10	chr4:87520425-87520926	0.429284585283082	0.2970323708749883	0.44333320405388593	0.08374533529893703	0.0549548451820979	[0]
E2	chr4:87502576-87503077	0.5313797953877234	0.37220602979397505	0.4634055041320838	0.08258742730828156	0.1116227186907158	[0]
E8	chr4:87375647-87376148	0.5123990951490839	0.3198206793968366	0.45964458176411177	0.07754674296532703	0.0657353229030311	[-97437]
E6	chr4:87391041-87391542	0.4407690378738551	0.267387018837852	0.48227157998158166	0.07240956530861407	0.0853743601428103	[-82043]
E13	chr4:87399097-87399598	0.2466529205203885	0.3100826238255064	0.4526359527818454	0.07219937444731245	0.0123645532051497	[-73987]
E5	chr4:87543762-87544263	0.512776377779015	0.32044644901372216	0.47108011297082014	0.06891043063399996	0.0784179295465221	[12951]
