gene	enhancer	panel_id	initial_rho	importance	importance_x_abs_rho	distance	gene_control_p99	enhancer_p99	mean_logfc_active	median_logfc_active	min_logfc_active	max_logfc_active
NEFM	chr8:25065472-25065973	E1	0.1861830174370838	0.1566766340052308	0.0291705284809795	[-146624]	1.9749809143883588	0.1038935840250029	-2.8213987983043696	-1.7832080908572663	-9.82653024194778	9.195200510288183
NEFM	chr8:25000555-25001056	E2	0.2693850944358976	0.058932551452071	0.0158755509382645	[-81708]	1.9749809143883588	0.1200636551254607	-2.6577090239297725	-1.6153583336668917	-9.85357095276874	9.027151038222037
NEFM	chr8:25021594-25022095	E3	0.0900267473806847	0.154094946767556	0.0138726668452828	[-102746]	1.9749809143883588	0.16248521061883678	-4.828408742581435	-4.9542727082907465	-9.912980440009793	9.08266522354245
NEFM	chr8:24914011-24914512	E4	0.2087199993553831	0.0566493636632443	0.0118238551472752	[0]	1.9749809143883588	0.07374842793379464	-2.3189499351370353	-1.0972224282737164	-9.693907551977956	9.83439605286921
NEFM	chr8:24913446-24913947	E5	0.2412967908346846	0.0461697145408764	0.0111406039524669	[62]	1.9749809143883588	0.2718908029374294	-2.176605985914285	-0.9789919455820388	-9.709145523048539	9.897511018212205
NEFM	chr8:25064194-25064695	E6	0.2935370839462199	0.03277858385707	0.0096217299212909	[-145346]	1.9749809143883588	0.04122388965169663	-2.8916493881855	-1.9734823064414848	-9.780932967720945	9.967226258835993
NEFM	chr8:24956425-24956926	E7	0.2397063482508122	0.031471148196747	0.0075438340095023	[-37578]	1.9749809143883588	0.2608251575578942	-2.3672241155356395	-1.1234740334840205	-9.762793530603542	9.811569359644057
NEFM	chr8:24941810-24942311	E8	0.2484466853719205	0.021922591333133	0.0054465951514801	[-22962]	1.9749809143883588	0.04884132763059393	-2.624071649581208	-1.5129204333795414	-9.856046784502354	9.940139705387422
NEFM	chr8:24977627-24978128	E9	0.0840482105468373	0.0602801029214246	0.0050664347821249	[-58780]	1.9749809143883588	0.039319467976262616	-2.516419628399377	-1.3521050256096447	-9.815410129842164	9.591417627123295
NEFM	chr8:24848417-24848918	E10	0.3138312830687185	0.0140419947639082	0.0044068172336015	[65090]	1.9749809143883588	0.12583121222649682	-4.777457000191071	-5.28516357403408	-9.967226258835993	9.967226258835993
NEFM	chr8:24999848-25000349	E11	0.2324078703274663	0.0186746486586936	0.0043401353238806	[-81000]	1.9749809143883588	0.10734496425051442	-1.9247528644659664	-0.6331440769268792	-9.702441425826986	9.748180096763708
NEFM	chr8:25050750-25051251	E12	0.2580329850301713	0.0149525702948247	0.0038582563470471	[-131902]	1.9749809143883588	0.056185662175703296	-2.328719829527095	-1.275929982924351	-9.653695365693782	9.874704627147063
NEFM	chr8:24957261-24957762	E15	0.2314951203232394	0.0099533082166429	0.002304142283226	[-38414]	1.9749809143883588	0.07541858222504663	-2.7039654328139817	-1.4471436091087193	-9.879124206711703	9.380831867051972
NEFM	chr8:24767816-24768317	E16	0.221259079075815	0.0097456703751536	0.0021563180521829	[145692]	1.9749809143883588	0.03958938627073288	-2.3539153368434174	-1.2869513137833484	-9.804369824705347	9.869077662011813
NEFM	chr8:24961381-24961882	E17	0.2330536686962121	0.0092076047005779	0.0021458660553741	[-42534]	1.9749809143883588	0.040067582658071435	-2.658390622512073	-1.7937047865361624	-9.80881217498318	9.887199897690524
