gene	panel_id	enhancer	importance	initial_rho	importance_x_abs_rho	distance	control_p99	enhancer_p99	spatial_corr	spatial_spearman	spatial_ssim	spatial_gradient_similarity	hotspot_overlap_q80	mean_abs_diff	mean_diff	std_diff	diff_abs_moran_i	diff_hotspots_q90	diff_largest_hotspot_fraction	diff_abs_threshold_q90	mean_abs_logfc	mean_logfc	std_logfc	logfc_abs_moran_i	logfc_hotspots_q90	logfc_largest_hotspot_fraction	logfc_abs_threshold_q90	residual_slope	residual_intercept	residual_mean	residual_std	residual_abs_moran_i	residual_hotspots_q90	residual_largest_hotspot_fraction	residual_abs_threshold_q90	diff_structure_score	logfc_structure_score	residual_structure_score	difference_structure_score
NEFM	E27	chr8:24832194-24832695	0.0039002701371425	0.2135338221002395	0.0008328395896074	[81314]	1.9749809143883588	0.03611501903253984	0.13849598376344202	0.0020605421677165193	0.07177240182626579	0.18617181177014308	0.26433915211310877	0.3780964151352793	-0.3290332685487938	0.30375088423153357	0.22374405845357448	47	0.09	0.7169791494943409	4.980066451181334	-4.3085990898704445	4.270571386509129	0.25434857025038665	41	0.19	9.271117762436752	0.12017795752379948	0.06545071160682446	2.847866676393187e-17	0.2122443415596544	0.2447007739210184	38	0.18	0.27275084758012713	0.04164239173899548	1.1868804542303324	0.04755252531593858	0.3300204541137598
NEFM	E10	chr8:24848417-24848918	0.0140419947639082	0.3138312830687185	0.0044068172336015	[65090]	1.9749809143883588	0.12583121222649682	0.1544140979166312	0.020724093012184825	0.06718975055598138	0.17759177253027203	0.27431421445699966	0.3903511027849505	-0.34928155055503657	0.29682772028682836	0.2155125557648932	49	0.1	0.7243724772756172	5.323575433716693	-4.777457000191071	4.077381349165647	0.27921115266022006	43	0.17	9.259027569994092	0.1295116942276571	0.04101748147823237	1.4239333381965934e-17	0.20466132933737124	0.25247417632270935	36	0.18	0.23217018582405557	0.04744766665917797	1.1576961013625215	0.04613994537964826	0.32455207288717847
NEFM	E3	chr8:25021594-25022095	0.154094946767556	0.0900267473806847	0.0138726668452828	[-102746]	1.9749809143883588	0.16248521061883678	0.20741960297048695	0.08800953739916409	0.06528441889573694	0.23642078839708577	0.28428927680089056	0.4003286596867661	-0.3761199344105496	0.2781888557087524	0.24467708286356835	48	0.12	0.7291804883528891	5.250881677192674	-4.828408742581435	3.5834908817903424	0.20742282308431478	41	0.18	9.082381210224709	0.15883642279204213	0.0010308300383974256	-3.5598333454914836e-18	0.1850142376246748	0.21358837770370656	29	0.19	0.14212756998036066	0.05979358899907274	1.1412061881043822	0.04266091441329327	0.3241503026703773
NEFM	E23	chr8:25033468-25033969	0.1082023023071614	0.0122923804655358	0.0013300638672065	[-114620]	1.9749809143883588	0.09892751385656992	0.21313477895758073	0.12925715232582866	0.06245136606126342	0.23145268049195894	0.28428927680089056	0.40414202298377816	-0.38121777274957475	0.2769198175630415	0.24098628644475972	47	0.12	0.7329424833507493	5.513736363803229	-5.113682410367559	3.503963916845335	0.21078002600048443	44	0.1619047619047619	9.084254469309126	0.16267256071570488	-0.005787009486655471	-1.2459416709220194e-17	0.18416994526828176	0.208054508759185	29	0.2	0.1376342793896437	0.0601841649958694	1.0808635389022223	0.04449746655185602	0.30986366401705295
NEFM	E26	chr8:24963464-24963965	0.0045109506251965	0.2143548968156857	0.0009669443558046	[-44616]	1.9749809143883588	0.053315254544057514	0.16650082172917396	0.10969669193845223	0.07583290969753549	0.19716835096662563	0.2793017456289451	0.3847014027903202	-0.3434823635574216	0.29333885101070156	0.2121948115716281	52	0.1	0.7171642476422648	4.616963244230135	-4.018050366631616	3.7865258586767108	0.23710065695861973	47	0.16831683168316833	8.914055084339777	0.13796702627262472	0.043025568824321556	1.4239333381965934e-17	0.20179393623810035	0.2545778311328696	36	0.18	0.22523245821959018	0.04663330444667532	0.9613665392479734	0.04556991579504489	0.27494442711892925
NEFM	E19	chr8:24773793-24774294	0.0083655461976463	0.2017642506885265	0.0016878681601683	[139714]	1.9749809143883588	0.029129522231194194	0.1372912190597915	0.10227679234680663	0.09270957351355306	0.22169006360525764	0.24438902742532695	0.3565809195167354	-0.2845162616723089	0.31799920382182717	0.2043172105497829	46	0.1	0.691222842886447	4.1104931447650195	-3.322591115041829	4.10458303034764	0.2200885751497144	43	0.18	8.966712422480015	0.13178656094858127	0.10476279309843528	3.559833345491484e-17	0.23482827764332032	0.22119779844449494	39	0.21	0.3835802695346664	0.042943653832767145	0.9027298303486238	0.06022207289081243	0.26393764463204716
NEFM	E18	chr8:24886821-24887322	0.0172889788092632	0.1184858720419419	0.0020484997309302	[26686]	1.9749809143883588	0.05558870791507404	0.18196546388799656	0.10328001406424696	0.09939842641854381	0.271212757022254	0.2593516209411633	0.35802150009398104	-0.3171642372748288	0.2851729317099904	0.22425230007750865	46	0.1	0.698189935767597	4.222579463159805	-3.5267191132280353	4.09979001243994	0.1935940288423809	42	0.18	9.085557116238723	0.14324966656343632	0.06697512866160828	2.3138916745694644e-17	0.19118197370949397	0.16168594976122516	38	0.16	0.19326154463391457	0.04383086449672563	0.9072082140372018	0.03553494603295025	0.2567716304195233
NEFM	E24	chr8:24999050-24999551	0.0086845490226531	0.1351831506299378	0.0011740046986823	[-80202]	1.9749809143883588	0.08755551421962705	0.1497389755341308	0.07993993821116853	0.0785088343707846	0.19704698253295136	0.2593516209411633	0.37607082685440424	-0.3267628149349281	0.30141529707263565	0.2106600228994986	47	0.09	0.7103434145123706	4.514586001649014	-3.8153741616235624	3.963501746593322	0.23172263011866692	47	0.1509433962264151	8.965555512252857	0.1295515733585745	0.06351833657531473	-2.4918833418440388e-17	0.21126992294954108	0.2488350620955782	37	0.19	0.2685524484849207	0.040976452426624774	0.8393536217129117	0.050129844595667446	0.24377443200736143
NEFM	E28	chr8:25034605-25035106	0.0130689914196576	0.0605675648654239	0.0007915569855357	[-115758]	1.9749809143883588	0.04345752225801574	0.1885020793579239	0.11369931620712748	0.09949478159057104	0.2701624093186858	0.27431421445699966	0.3623296115270149	-0.3224647848442179	0.28532775628226087	0.2281422151025875	45	0.1	0.7006984205125428	4.2180737939638195	-3.548652845252803	3.9710644905535677	0.20728022759867368	43	0.1523809523809524	9.022795465154065	0.1502286793325528	0.058545415645341506	-4.093808347315206e-17	0.19330115972151968	0.1586897182613035	44	0.16	0.2090753760276702	0.04449922916980482	0.7759843184768976	0.03583617060756974	0.22433843099979572
NEFM	E33	chr8:25010086-25010587	0.0040975533063057	0.1286010518819761	0.0005269496653333	[-91238]	1.9749809143883588	0.015651171341805933	0.14292555151334446	0.11831697543703175	0.11417680955327891	0.259908264429739	0.2693266832850542	0.3353085115629991	-0.2392105540159507	0.32765394681679005	0.13733808564755828	50	0.09	0.6585974044036124	3.9804212933763137	-3.024691537935377	4.408299766904941	0.1925404048966819	50	0.16	9.062535803579912	0.1466940200905236	0.14338447428988516	7.119666690982967e-18	0.25088509195984804	0.14337574727000163	45	0.1	0.37997087068443475	0.03432232265781542	0.7594901153379782	0.028685592949849438	0.213641415430068
