gene	panel_id	enhancer	importance	initial_rho	rectified_raw_rho	latent_state_rho	importance_x_abs_rho	distance	control_p99	enhancer_p99	mean_logfc_active
NEFL	E1	chr8:25000555-25001056	0.0602004335766056	0.3085100005990417	0.21027392160807531	0.4349816444602707	0.0185724357987811	[44085]	1.9754095494747148	0.10316761821508401	-2.9970623435611543
NEFL	E2	chr8:25065472-25065973	0.0792222883351678	0.2066636672268099	0.10737748139983827	0.409946021758541	0.0163723686334455	[109001]	1.9754095494747148	0.08865333147346957	-3.158087565048238
NEFL	E3	chr8:25073762-25074263	0.0506657778775918	0.2932254695192776	0.25353816290697706	0.41262128918063123	0.0148564965067162	[117291]	1.9754095494747148	0.026851878874003806	-3.42977801927507
NEFL	E4	chr8:24913446-24913947	0.0555569059340886	0.2659742994693073	0.15740376011757104	0.450732262858719	0.0147767091365014	[-37259]	1.9754095494747148	0.2541052848100662	-2.585591576210999
NEFL	E5	chr8:25064194-25064695	0.0447208633882609	0.3215222099138761	0.1468089563145568	0.3988951472750118	0.0143787508258502	[107723]	1.9754095494747148	0.039779590070247645	-3.40068726101881
NEFL	E6	chr8:24848417-24848918	0.0391478938515386	0.3474980217451501	0.2404988905342896	0.2904055936634221	0.0136038156688988	[-102287]	1.9754095494747148	0.11961977124214179	-5.288759687407952
NEFL	E7	chr8:24956425-24956926	0.0481773300014246	0.2801884727759147	0.19055969026745392	0.44048682324206473	0.0134987325155204	[0]	1.9754095494747148	0.24609137326478958	-2.820844446761548
NEFL	E8	chr8:25050750-25051251	0.0338356518954864	0.3020607175850172	0.2185383496710236	0.43894211320430165	0.0102204212915074	[94279]	1.9754095494747148	0.05167031113058328	-2.7545445865124165
NEFL	E9	chr8:24941810-24942311	0.0316009945371938	0.2941110194078169	0.2864992849105087	0.4329661084800153	0.0092942007176349	[-8895]	1.9754095494747148	0.0456654344499111	-3.09358291233077
NEFL	E10	chr8:24961381-24961882	0.0296669903557992	0.294932717200832	0.2875293045613308	0.41382599119664704	0.0087497660768067	[4911]	1.9754095494747148	0.03669746577739716	-3.1708544611824654
NEFL	E11	chr8:24955004-24955505	0.028821890599538	0.2606352477215176	0.20950079762969812	0.41286958682443875	0.007512000596213	[0]	1.9754095494747148	0.07811382576823243	-3.133262878152817
NEFL	E12	chr8:25021594-25022095	0.0641676017234121	0.1047090068141185	0.1445944753625396	0.24940412218510813	0.0067189258461024	[65123]	1.9754095494747148	0.13927230224013348	-5.1713044961192836
NEFL	E13	chr8:24832194-24832695	0.021242311400686	0.2456805124655384	0.22199462861014901	0.32217102285792987	0.005218821950873	[-118511]	1.9754095494747148	0.03461228355765355	-4.794309414411776
NEFL	E14	chr8:24957261-24957762	0.0202263152623856	0.2558267581551862	0.14586238586537342	0.4273700733074033	0.0051744326630008	[791]	1.9754095494747148	0.0645102283358573	-3.158070220843479
NEFL	E15	chr8:24999848-25000349	0.0198049552352312	0.2520296277446982	0.10900559614772291	0.4419888454857193	0.0049914354954357	[43377]	1.9754095494747148	0.09891774535179138	-2.2548741627796796
NEFL	E16	chr8:24914011-24914512	0.0194116643762632	0.2296800572979951	0.12480291634747738	0.429384035686578	0.0044584721861895	[-36693]	1.9754095494747148	0.07070044726133345	-2.7117929870669695
NEFL	E17	chr8:24977627-24978128	0.0341167658102391	0.1023667684957088	0.1409451379339699	0.43660707780392644	0.003492423067519	[21157]	1.9754095494747148	0.03393249012529842	-2.806706487271493
NEFL	E18	chr8:24999050-24999551	0.0227542453914914	0.1532633233480246	0.22321453708766126	0.33414711696068433	0.0034873912689764	[42579]	1.9754095494747148	0.08081854194402699	-4.373988543276748
NEFL	E19	chr8:24963464-24963965	0.013748709488813	0.2480514354605619	0.24461393385590713	0.3099476139574603	0.0034103871244303	[6993]	1.9754095494747148	0.050158498995006115	-4.563472450134264
NEFL	E20	chr8:24942377-24942878	0.0118216797605651	0.2698117550158572	0.26050511486701455	0.42607389845804894	0.0031896281634335	[-8327]	1.9754095494747148	0.022760050036013127	-3.061762109323431
NEFL	E22	chr8:25075046-25075547	0.0103997291072322	0.2204746056430304	0.2536762618521039	0.40799746861496866	0.0022928761737113	[118575]	1.9754095494747148	0.013718341775238518	-3.876832825890515
NEFL	E24	chr8:24965559-24966060	0.011228160002406	0.13552407937119	0.18578100892201108	0.43444277373481727	0.0015216860473585	[9089]	1.9754095494747148	0.011041000969707967	-3.0237572743835432
NEFL	E25	chr8:25010086-25010587	0.0082976865498123	0.1613174345376056	0.12429393557005458	0.4040121027105127	0.0013385615068129	[53615]	1.9754095494747148	0.014650394730269908	-3.6103653487701886
NEFL	E28	chr8:25075604-25076105	0.0030140522336088	0.2885740419067722	0.1261151638967918	0.37984576184483004	0.0008697772355706	[119133]	1.9754095494747148	0.013341474235057828	-3.9634755143869733
NEFL	E29	chr8:25033468-25033969	0.0868664011471507	0.0097606027129762	0.1580720389261208	0.23560311421398536	0.0008478684307033	[76997]	1.9754095494747148	0.0848807744681834	-5.4719536268081335
NEFL	E30	chr8:24862389-24862890	0.0071961978040096	0.1151571516215979	0.19221452216525856	0.3027069424143528	0.0008286936416153	[-88315]	1.9754095494747148	0.018822049815207745	-4.86523119902657
