gene	enhancer	panel_id	importance	initial_rho	importance_x_rho	importance_x_abs_rho	distance	rectified_raw_rho	latent_state_rho	latent_importance_x_rho	latent_importance_x_abs_rho
NEFM	chr8:25065472-25065973	E1	0.1566766340052308	0.1861830174370838	0.0291705284809795	0.0291705284809795	[-146624]	0.13120189610388672	0.42849642511089964	0.06713537756965021	0.06713537756965021
NEFM	chr8:25000555-25001056	E2	0.058932551452071	0.2693850944358976	0.0158755509382645	0.0158755509382645	[-81708]	0.21985769185497114	0.4418162916034473	0.026037361337283363	0.026037361337283363
NEFM	chr8:25021594-25022095	E3	0.154094946767556	0.0900267473806847	0.0138726668452828	0.0138726668452828	[-102746]	0.1988034971964666	0.2900466218188219	0.044694718749280805	0.044694718749280805
NEFM	chr8:24914011-24914512	E4	0.0566493636632443	0.2087199993553831	0.0118238551472752	0.0118238551472752	[0]	0.12149235472649926	0.4431543549515728	0.025104412212602095	0.025104412212602095
NEFM	chr8:24913446-24913947	E5	0.0461697145408764	0.2412967908346846	0.0111406039524669	0.0111406039524669	[62]	0.15917116154674912	0.4546730153258159	0.02099212332703244	0.02099212332703244
NEFM	chr8:25064194-25064695	E6	0.03277858385707	0.2935370839462199	0.0096217299212909	0.0096217299212909	[-145346]	0.15419704146712918	0.4039167891467591	0.013239820344325505	0.013239820344325505
NEFM	chr8:24956425-24956926	E7	0.031471148196747	0.2397063482508122	0.0075438340095023	0.0075438340095023	[-37578]	0.19002785814384587	0.4510009239383318	0.01419351691413306	0.01419351691413306
NEFM	chr8:24941810-24942311	E8	0.021922591333133	0.2484466853719205	0.0054465951514801	0.0054465951514801	[-22962]	0.2583101919308818	0.43853092719851877	0.009613734303913025	0.009613734303913025
NEFM	chr8:24977627-24978128	E9	0.0602801029214246	0.0840482105468373	0.0050664347821249	0.0050664347821249	[-58780]	0.15482496325734021	0.4494052761701953	0.02709019630097062	0.02709019630097062
NEFM	chr8:24848417-24848918	E10	0.0140419947639082	0.3138312830687185	0.0044068172336015	0.0044068172336015	[65090]	0.23389156714269388	0.31063165643560503	0.004361888093172897	0.004361888093172897
