gene	enhancer	panel_id	initial_rho	importance	importance_x_rho	importance_x_abs_rho	distance	rectified_raw_rho
NEFM	chr8:25065472-25065973	E1	0.1861830174370838	0.1566766340052308	0.0291705284809795	0.0291705284809795	[-146624]	0.13120189610388672
NEFM	chr8:25000555-25001056	E2	0.2693850944358976	0.058932551452071	0.0158755509382645	0.0158755509382645	[-81708]	0.21985769185497114
NEFM	chr8:25021594-25022095	E3	0.0900267473806847	0.154094946767556	0.0138726668452828	0.0138726668452828	[-102746]	0.1988034971964666
NEFM	chr8:24914011-24914512	E4	0.2087199993553831	0.0566493636632443	0.0118238551472752	0.0118238551472752	[0]	0.12149235472649926
NEFM	chr8:24913446-24913947	E5	0.2412967908346846	0.0461697145408764	0.0111406039524669	0.0111406039524669	[62]	0.15917116154674912
NEFM	chr8:25064194-25064695	E6	0.2935370839462199	0.03277858385707	0.0096217299212909	0.0096217299212909	[-145346]	0.15419704146712918
NEFM	chr8:24956425-24956926	E7	0.2397063482508122	0.031471148196747	0.0075438340095023	0.0075438340095023	[-37578]	0.19002785814384587
NEFM	chr8:24941810-24942311	E8	0.2484466853719205	0.021922591333133	0.0054465951514801	0.0054465951514801	[-22962]	0.2583101919308818
NEFM	chr8:24977627-24978128	E9	0.0840482105468373	0.0602801029214246	0.0050664347821249	0.0050664347821249	[-58780]	0.15482496325734021
NEFM	chr8:24848417-24848918	E10	0.3138312830687185	0.0140419947639082	0.0044068172336015	0.0044068172336015	[65090]	0.23389156714269388
NEFM	chr8:24999848-25000349	E11	0.2324078703274663	0.0186746486586936	0.0043401353238806	0.0043401353238806	[-81000]	0.1091295679685849
NEFM	chr8:25050750-25051251	E12	0.2580329850301713	0.0149525702948247	0.0038582563470471	0.0038582563470471	[-131902]	0.1988272332038899
NEFM	chr8:25034051-25034552	E13	0.0576042802092599	0.0413977943747948	0.002384690147211	0.002384690147211	[-115204]	0.020783263853451573
NEFM	chr8:24914668-24915169	E14	0.1684148124058075	0.0138406290696761	0.0023309669483478	0.0023309669483478	[0]	0.026221767184438752
NEFM	chr8:24957261-24957762	E15	0.2314951203232394	0.0099533082166429	0.002304142283226	0.002304142283226	[-38414]	0.1631553623474501
NEFM	chr8:24767816-24768317	E16	0.221259079075815	0.0097456703751536	0.0021563180521829	0.0021563180521829	[145692]	0.14099381039445658
NEFM	chr8:24961381-24961882	E17	0.2330536686962121	0.0092076047005779	0.0021458660553741	0.0021458660553741	[-42534]	0.25442159401449227
NEFM	chr8:24886821-24887322	E18	0.1184858720419419	0.0172889788092632	0.0020484997309302	0.0020484997309302	[26686]	0.12994027864647445
NEFM	chr8:24773793-24774294	E19	0.2017642506885265	0.0083655461976463	0.0016878681601683	0.0016878681601683	[139714]	0.252509034115694
NEFM	chr8:24766963-24767464	E20	0.1587294932421186	0.0094349871542247	0.0014976107297359	0.0014976107297359	[146544]	0.11638443243696604
NEFM	chr8:24955004-24955505	E21	0.2296416613886391	0.0061793677717337	0.0014190402814323	0.0014190402814323	[-36156]	0.19607445876218338
NEFM	chr8:24942377-24942878	E22	0.2298112294986674	0.0061510803708335	0.0014135873427663	0.0014135873427663	[-23530]	0.24376947140498015
NEFM	chr8:25033468-25033969	E23	0.0122923804655358	0.1082023023071614	0.0013300638672065	0.0013300638672065	[-114620]	0.21332891854704
NEFM	chr8:24999050-24999551	E24	0.1351831506299378	0.0086845490226531	0.0011740046986823	0.0011740046986823	[-80202]	0.22046166696522895
NEFM	chr8:24891715-24892216	E25	0.1293202344467942	0.0089313343005474	0.0011550022456694	0.0011550022456694	[21792]	0.1003543213407913
NEFM	chr8:24963464-24963965	E26	0.2143548968156857	0.0045109506251965	0.0009669443558046	0.0009669443558046	[-44616]	0.23483578518658224
NEFM	chr8:24832194-24832695	E27	0.2135338221002395	0.0039002701371425	0.0008328395896074	0.0008328395896074	[81314]	0.2192827367764421
NEFM	chr8:25034605-25035106	E28	0.0605675648654239	0.0130689914196576	0.0007915569855357	0.0007915569855357	[-115758]	0.1318806904467612
NEFM	chr8:24768426-24768927	E29	0.0673714896129319	0.0103807218780722	0.0006993646961832	0.0006993646961832	[145082]	-0.0014913094728287815
NEFM	chr8:25007491-25007992	E30	0.0665787158973884	0.0090975509623156	0.000605703260882	0.000605703260882	[-88644]	-0.02044348850303049
NEFM	chr8:24965559-24966060	E31	0.1024790994050016	0.0056767362607708	0.0005817468195635	0.0005817468195635	[-46712]	0.17509357471534379
NEFM	chr8:24955726-24956227	E32	0.1411165510721272	0.0039889864183418	0.0005629120056299	0.0005629120056299	[-36878]	0.09263702900559734
NEFM	chr8:25010086-25010587	E33	0.1286010518819761	0.0040975533063057	0.0005269496653333	0.0005269496653333	[-91238]	0.13697291353732782
NEFM	chr8:24766336-24766837	E34	0.1934061577771408	0.0023499277224373	0.0004544904918505	0.0004544904918505	[147172]	0.07306665390495308
NEFM	chr8:24803957-24804458	E35	0.0775528151549247	0.0052532245984072	0.0004074023562475	0.0004074023562475	[109550]	0.06999651741847503
NEFM	chr8:24805956-24806457	E36	0.0605805218695077	0.0045562905098437	0.0002760224568754	0.0002760224568754	[107552]	0.04545708251216856
NEFM	chr8:24862389-24862890	E37	0.1006503934283127	0.0021717236112983	0.0002185848358947	0.0002185848358947	[51118]	0.2063898205984142
NEFM	chr8:24995510-24996011	E38	0.0354813932211853	0.0016306204061428	5.7856683824843575e-05	5.7856683824843575e-05	[-76662]	0.015067323751393323
NEFM	chr8:24857558-24858059	E39	-0.0505667707165031	0.000933572491947	-4.720774614752301e-05	4.720774614752301e-05	[55950]	0.1806991457432289
NEFM	chr8:24875516-24876017	E40	-0.0615597734872934	0.0005340260492865	-3.287452263039264e-05	3.287452263039264e-05	[37992]	-0.08381018729800928
