gene	enhancer	panel_id	rho	importance_x_abs_rho	raw_r	latent_state_r
NEFM	chr8:25065472-25065973	E1	0.1861830174370838	0.0291705284809795	0.13120189610388672	0.42849642511089964
NEFM	chr8:25000555-25001056	E2	0.2693850944358976	0.0158755509382645	0.21985769185497114	0.4418162916034473
NEFM	chr8:25021594-25022095	E3	0.0900267473806847	0.0138726668452828	0.1988034971964666	0.2900466218188219
NEFM	chr8:24914011-24914512	E4	0.2087199993553831	0.0118238551472752	0.12149235472649926	0.4431543549515728
NEFM	chr8:24913446-24913947	E5	0.2412967908346846	0.0111406039524669	0.15917116154674912	0.4546730153258159
NEFM	chr8:25064194-25064695	E6	0.2935370839462199	0.0096217299212909	0.15419704146712918	0.4039167891467591
NEFM	chr8:24956425-24956926	E7	0.2397063482508122	0.0075438340095023	0.19002785814384587	0.4510009239383318
NEFM	chr8:24941810-24942311	E8	0.2484466853719205	0.0054465951514801	0.2583101919308818	0.43853092719851877
NEFM	chr8:24977627-24978128	E9	0.0840482105468373	0.0050664347821249	0.15482496325734021	0.4494052761701953
NEFM	chr8:24848417-24848918	E10	0.3138312830687185	0.0044068172336015	0.23389156714269388	0.31063165643560503
NEFM	chr8:24999848-25000349	E11	0.2324078703274663	0.0043401353238806	0.1091295679685849	0.452383715956585
NEFM	chr8:25050750-25051251	E12	0.2580329850301713	0.0038582563470471	0.1988272332038899	0.44064301591104144
NEFM	chr8:25034051-25034552	E13	0.0576042802092599	0.002384690147211	0.020783263853451573	0.3684960636757819
NEFM	chr8:24914668-24915169	E14	0.1684148124058075	0.0023309669483478	0.026221767184438752	0.4370514522739351
NEFM	chr8:24957261-24957762	E15	0.2314951203232394	0.002304142283226	0.1631553623474501	0.4446641965863593
NEFM	chr8:24767816-24768317	E16	0.221259079075815	0.0021563180521829	0.14099381039445658	0.4225179710974733
NEFM	chr8:24961381-24961882	E17	0.2330536686962121	0.0021458660553741	0.25442159401449227	0.41993301014074425
NEFM	chr8:24886821-24887322	E18	0.1184858720419419	0.0020484997309302	0.12994027864647445	0.3920461691531088
NEFM	chr8:24773793-24774294	E19	0.2017642506885265	0.0016878681601683	0.252509034115694	0.383997365484638
NEFM	chr8:24766963-24767464	E20	0.1587294932421186	0.0014976107297359	0.11638443243696604	0.41948789727311525
NEFM	chr8:24955004-24955505	E21	0.2296416613886391	0.0014190402814323	0.19607445876218338	0.4154110420357821
NEFM	chr8:24942377-24942878	E22	0.2298112294986674	0.0014135873427663	0.24376947140498015	0.4369822648503704
NEFM	chr8:24999050-24999551	E23	0.1351831506299378	0.0011740046986823	0.22046166696522895	0.3453015415429146
NEFM	chr8:24891715-24892216	E24	0.1293202344467942	0.0011550022456694	0.1003543213407913	0.4241488323912258
NEFM	chr8:24963464-24963965	E25	0.2143548968156857	0.0009669443558046	0.23483578518658224	0.3290720763999084
NEFM	chr8:24832194-24832695	E26	0.2135338221002395	0.0008328395896074	0.2192827367764421	0.3359619194972452
NEFM	chr8:25034605-25035106	E27	0.0605675648654239	0.0007915569855357	0.1318806904467612	0.38255199032276355
NEFM	chr8:24768426-24768927	E28	0.0673714896129319	0.0006993646961832	-0.0014913094728287815	0.3589120268168023
NEFM	chr8:25007491-25007992	E29	0.0665787158973884	0.000605703260882	-0.02044348850303049	0.37010076423348137
NEFM	chr8:24965559-24966060	E30	0.1024790994050016	0.0005817468195635	0.17509357471534379	0.44105252304514747
NEFM	chr8:24955726-24956227	E31	0.1411165510721272	0.0005629120056299	0.09263702900559734	0.44579203800192696
NEFM	chr8:25010086-25010587	E32	0.1286010518819761	0.0005269496653333	0.13697291353732782	0.4247453242471124
NEFM	chr8:24766336-24766837	E33	0.1934061577771408	0.0004544904918505	0.07306665390495308	0.41957798261852547
NEFM	chr8:24803957-24804458	E34	0.0775528151549247	0.0004074023562475	0.06999651741847503	0.35039582608949804
NEFM	chr8:24805956-24806457	E35	0.0605805218695077	0.0002760224568754	0.04545708251216856	0.43492366661718684
NEFM	chr8:24862389-24862890	E36	0.1006503934283127	0.0002185848358947	0.2063898205984142	0.32847847677775754
NEFM	chr8:24857558-24858059	E37	-0.0505667707165031	4.720774614752301e-05	0.1806991457432289	0.4289713152280372
NEFM	chr8:24875516-24876017	E38	-0.0615597734872934	3.287452263039264e-05	-0.08381018729800928	0.14944612765837617
NEFM	chr8:24882901-24883402	E39	-0.0792467069379896	1.3823453783124209e-05	-0.03131745197362137	0.22873967138205192
