gene	enhancer_index	global_concordance	max_regional_concordance	best_domain	best_domain_size	local_advantage	regional_specificity	regional_evidence_score	permutation_pvalue	predicted_class	permutation_qvalue	enhancer	prior_score	prior_signed_score
VIM	0	0.39951631673945887	0.4036615919034395	1	1292	0.004145275163980611	0.2576574599615636	0.0004232964092092363	0.01	core_concordant	0.018181818181818184	chr10:17228941-17229442	0.0657333217243029	0.0657333217243029
VIM	1	0.39831328075729816	0.39716052737711677	1	1292	-0.0011527533801813927	0.2785322114590558	0.0	0.01	core_concordant	0.018181818181818184	chr10:17228390-17228891	0.0645673070144108	0.0645673070144108
VIM	2	0.2616761053807189	0.33699108800946087	1	1292	0.07531498262874198	0.2802849557059019	0.0069844249326042876	0.01	core_concordant	0.018181818181818184	chr10:17201134-17201635	0.041159539862478	0.041159539862478
VIM	3	0.3449301071024719	0.32859562875920734	1	1292	-0.01633447834326457	0.24421601261303255	0.0	0.01	core_concordant	0.018181818181818184	chr10:17229832-17230333	0.0267097533848691	0.0267097533848691
VIM	4	0.32524170232095484	0.3354178642971193	1	1292	0.010176161976164444	0.20988014848265518	0.0007033518491112524	0.01	core_concordant	0.018181818181818184	chr10:17171264-17171765	0.0228453860411396	0.0228453860411396
VIM	5	0.2842794014899412	0.38264340209863434	1	1292	0.09836400060869316	0.31449517300720886	0.011621855396365517	0.01	core_concordant	0.018181818181818184	chr10:17139476-17139977	0.0192352060145779	0.0192352060145779
VIM	6	0.3282636782830256	0.385331890267565	1	1292	0.057068211984539374	0.27609365719785783	0.005960967014160642	0.01	core_concordant	0.018181818181818184	chr10:17257623-17258124	0.0170148393092017	0.0170148393092017
VIM	7	0.14967197221223075	0.26228988142059073	1	1292	0.11261790920835998	0.24212306620255003	0.007021925742417465	0.01	regional_candidate	0.018181818181818184	chr10:17137719-17138220	0.0091125674281443	0.0091125674281443
VIM	8	0.26693124713984306	0.26755343211573424	1	1292	0.0006221849758911713	0.2135308868527449	3.489971017417715e-05	0.01	core_concordant	0.018181818181818184	chr10:17250728-17251229	0.0069035461280148	0.0069035461280148
VIM	9	0.2129393487151859	0.32631901602563823	1	1292	0.11337966731045232	0.2686749050997082	0.009759683534165578	0.01	core_concordant	0.018181818181818184	chr10:17138328-17138829	0.0050697280270585	0.0050697280270585
VIM	10	0.014359087284662822	0.038457891655728604	0	1292	0.024098804371065784	0.04075045854561874	8.056978172199205e-06	0.59	unsupported	0.7866666666666666	chr10:17348557-17349058	0.0017859181621098	0.0017859181621098
VIM	11	-0.10240522923766375	-0.030792650347761817	5	1254	0.07161257888990194	0.025386465929578154	0.0	1.0	unsupported	1.0	chr10:17307030-17307531	0.001763858129046	-0.001763858129046
VIM	12	-0.10432858177856896	0.08366733913860529	0	1292	0.18799592091717426	0.135936030883213	0.0015789444438517126	0.17	unsupported	0.26153846153846155	chr10:17274809-17275310	0.0014165922620202	-0.0014165922620202
VIM	13	0.16360959421156676	0.2632195914793467	1	1292	0.09960999726777994	0.2539967224242555	0.006538533027469314	0.01	regional_candidate	0.018181818181818184	chr10:17199563-17200064	0.0011031885252721	0.0011031885252721
VIM	14	-0.11447560764739836	-0.00767169868650817	2	1254	0.10680390896089019	0.05345906672385689	0.0	0.99	unsupported	1.0	chr10:17278934-17279435	0.0007976836783721	-0.0007976836783721
VIM	15	-0.08590295127751879	0.08844491502984665	0	1292	0.17434786630736543	0.12983817551108356	0.0015349650496632808	0.14	unsupported	0.23333333333333336	chr10:17353837-17354338	0.000510998798217	-0.000510998798217
VIM	16	-0.09933939238233358	-0.040438720328540165	2	1254	0.058900672053793415	0.034644809440970675	0.0	1.0	unsupported	1.0	chr10:17155793-17156294	0.0004242750405562	-0.0004242750405562
VIM	17	-0.10399636841031518	0.05258136077470401	2	1254	0.1565777291850192	0.1232864483131429	0.0002165388730331503	0.56	unsupported	0.7866666666666666	chr10:17323180-17323681	0.0002951189827693	-0.0002951189827693
VIM	18	-0.11605656656587542	0.017809304804589483	0	1292	0.1338658713704649	0.07055428489747698	0.0	0.89	unsupported	1.0	chr10:17377694-17378195	0.0002775115684488	-0.0002775115684488
VIM	19	-0.14605798943264667	-0.002269584716655714	5	1254	0.14378840471599094	0.09431526472330902	0.0	0.96	unsupported	1.0	chr10:17177942-17178443	0.0002603011426139	-0.0002603011426139
SPARCL1	0	0.40396127236714724	0.3902204856157473	4	1292	-0.013740786751399947	0.12238534087850028	0.0	0.01	core_concordant	0.014285714285714287	chr4:87517628-87518129	0.1108952308951863	0.1108952308951863
SPARCL1	1	0.3728047100033704	0.3592218744968062	4	1292	-0.013582835506564195	0.14186690921251666	0.0	0.01	core_concordant	0.014285714285714287	chr4:87502576-87503077	0.059314057418494	0.059314057418494
SPARCL1	2	0.39342540655435665	0.38677024420337813	4	1292	-0.006655162350978516	0.13744647059531748	0.0	0.01	core_concordant	0.014285714285714287	chr4:87525580-87526081	0.0471816937350879	0.0471816937350879
SPARCL1	3	0.3774392375429702	0.3403531321256208	5	1254	-0.03708610541734941	0.10438896865927785	0.0	0.01	core_concordant	0.014285714285714287	chr4:87469651-87470152	0.0465088158442296	0.0465088158442296
SPARCL1	4	0.3138239053562365	0.28643184669761623	4	1292	-0.027392058658620266	0.11239355841121645	0.0	0.01	core_concordant	0.014285714285714287	chr4:87543762-87544263	0.0402108618657956	0.0402108618657956
SPARCL1	5	0.26874585103851273	0.310605181821285	4	1292	0.041859330782772264	0.18801316953155756	0.0024095741709870724	0.01	core_concordant	0.014285714285714287	chr4:87391041-87391542	0.0376303745792425	0.0376303745792425
SPARCL1	6	0.3552275650940031	0.30855331337266767	5	1254	-0.046674251721335436	0.08599871058949476	0.0	0.01	core_concordant	0.014285714285714287	chr4:87530786-87531287	0.0357877450086818	0.0357877450086818
SPARCL1	7	0.31276059191550704	0.2582128894763917	5	1254	-0.05454770243911533	0.06293244839246209	0.0	0.01	core_concordant	0.014285714285714287	chr4:87375647-87376148	0.033682719974846	0.033682719974846
SPARCL1	8	0.39842753257653307	0.3905158130956027	4	1292	-0.00791171948093039	0.15320706094983852	0.0	0.01	core_concordant	0.014285714285714287	chr4:87529111-87529612	0.0281158288579263	0.0281158288579263
SPARCL1	9	0.29016249453124066	0.23760730813598846	5	1254	-0.052555186395252196	0.06035941910250456	0.0	0.01	core_concordant	0.014285714285714287	chr4:87520425-87520926	0.0235912679232928	0.0235912679232928
SPARCL1	10	0.16349167726493	0.2782023178216854	4	1292	0.11471064055675542	0.22622940152942078	0.007116468743642563	0.01	regional_candidate	0.014285714285714287	chr4:87680272-87680773	0.0092362877696483	0.0092362877696483
SPARCL1	11	0.33602706876468047	0.35648915507931433	4	1292	0.020462086314633865	0.19778300869858054	0.001422120067191402	0.01	core_concordant	0.014285714285714287	chr4:87465668-87466169	0.0037313034904775	0.0037313034904775
SPARCL1	12	0.3003949802192219	0.24377756503460518	5	1254	-0.056617415184616715	0.038901571166350374	0.0	0.01	core_concordant	0.014285714285714287	chr4:87399097-87399598	0.0030497531589799	0.0030497531589799
SPARCL1	13	0.19518931350407895	0.22197091653324658	4	1292	0.026781603029167628	0.12225007855015613	0.0007163624964516026	0.01	unsupported	0.014285714285714287	chr4:87679756-87680257	0.0024260656978528	0.0024260656978528
SPARCL1	14	0.16111838404803622	0.16337940455049246	1	1292	0.0022610205024562458	0.15121623975563503	5.4370313917303315e-05	0.02	unsupported	0.02666666666666667	chr4:87624681-87625182	0.0004612525823489	0.0004612525823489
SPARCL1	15	-0.14195773974688983	-0.023176890512475155	0	1292	0.11878084923441468	0.057948409763398975	0.0	1.0	unsupported	1.0	chr4:87669282-87669783	0.0003313661982994	-0.0003313661982994
SPARCL1	16	-0.00379744448942706	0.05138610390638454	1	1292	0.0551835483958116	0.0464667383532477	5.115552155449813e-05	0.52	unsupported	0.611764705882353	chr4:87589440-87589941	0.0003143048431936	-0.0003143048431936
SPARCL1	17	-0.08163978054883979	0.014249693631028622	4	1292	0.09588947417986841	0.0544588748902594	7.049592818311392e-06	0.86	unsupported	0.9052631578947368	chr4:87353040-87353541	0.0002067565480018	-0.0002067565480018
SPARCL1	18	-0.05948307828748745	0.04412314892901501	0	1292	0.10360622721650246	0.07141964977223075	0.00013467718413155032	0.47	unsupported	0.5874999999999999	chr4:87360245-87360746	0.0001501921757492	-0.0001501921757492
SPARCL1	19	-0.0719091165859559	0.015327162642092239	4	1292	0.08723627922804814	0.05051424069593441	7.504646148530008e-06	0.8	unsupported	0.8888888888888888	chr4:87406162-87406663	0.0001237429092186	-0.0001237429092186
PTN	0	0.46494377453850816	0.4803294559701624	1	1292	0.015385681431654252	0.30616299453241597	0.00223878764518752	0.01	core_concordant	0.010526315789473684	chr7:137241687-137242188	0.0412040991516981	0.0412040991516981
PTN	1	0.38459319306549367	0.4233700986604228	1	1292	0.038776905594929134	0.31844271241395894	0.005172838194818861	0.01	core_concordant	0.010526315789473684	chr7:137343502-137344003	0.0384964628263542	0.0384964628263542
PTN	2	0.46903254355591767	0.4725761041755411	1	1292	0.0035435606196234093	0.30568444391225236	0.000501661807249774	0.02	core_concordant	0.02	chr7:137283092-137283593	0.0372845636622108	0.0372845636622108
PTN	3	0.45421979180025335	0.4553653411165259	1	1292	0.0011455493162725316	0.3250139914297995	0.00016775677492634317	0.01	core_concordant	0.010526315789473684	chr7:137402462-137402963	0.0296059731286308	0.0296059731286308
PTN	4	0.45446970598853587	0.4485730044818902	1	1292	-0.005896701506645674	0.29703208827076155	0.0	0.01	core_concordant	0.010526315789473684	chr7:137395951-137396452	0.0282798118786049	0.0282798118786049
PTN	5	0.4618069492830041	0.45592330659738334	1	1292	-0.005883642685620749	0.3039893826468072	0.0	0.01	core_concordant	0.010526315789473684	chr7:137354806-137355307	0.0268204094946055	0.0268204094946055
PTN	6	0.43405965748380826	0.44176259721517247	1	1292	0.007702939731364211	0.3038573587766372	0.0010231032148357634	0.01	core_concordant	0.010526315789473684	chr7:137262424-137262925	0.0236606690499786	0.0236606690499786
